dv - | INFO flwr 2024-11-12 16:02:08,863 | server_app.py:105 | file writing: True
dv - | INFO flwr 2024-11-12 16:02:08,863 | server_app.py:106 | running in fed_final
dv - | INFO flwr 2024-11-12 16:02:08,863 | server_app.py:107 | min num clients 2
dv - | INFO flwr 2024-11-12 16:02:08,863 | server_app.py:108 | num server rounds 200
dv - | INFO flwr 2024-11-12 16:02:08,863 | server_app.py:109 | config num local epochs 3
dv - | INFO flwr 2024-11-12 16:02:08,863 | server_app.py:110 | advanced logging False
dv - | INFO flwr 2024-11-12 16:02:08,863 | server_app.py:111 | partition: shard
dv - | INFO flwr 2024-11-12 16:02:08,863 | server_app.py:112 | fraction: 2
dv - | INFO flwr 2024-11-12 16:02:08,864 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-11-12 16:02:08,864 | app.py:79 | 
dv - | INFO flwr 2024-11-12 16:02:08,864 | server.py:92 | [INIT]
dv - | INFO flwr 2024-11-12 16:02:08,864 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-11-12 16:02:08,864 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-11-12 16:02:08,864 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-11-12 16:02:08,864 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:02:08,864 | server.py:113 | [ROUND 1]
dv - | DEBUG flwr 2024-11-12 16:02:08,864 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-12 16:02:08,864 | fed_custom.py:200 | configure_fit: strategy returns 14 out of range 51 and round 25
dv - | INFO flwr 2024-11-12 16:02:08,864 | server.py:226 | configure_fit: strategy sampled 14 clients (out of 100)
dv - | DEBUG flwr 2024-11-12 16:02:12,038 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-11-12 16:02:12,038 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-11-12 16:03:38,483 | server.py:240 | aggregate_fit: received 14 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:38,489 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:03:39,296 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:03:39,296 | fed_custom.py:294 | aggregated accuracy: 0.0963
dv - | INFO flwr 2024-11-12 16:03:39,296 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:03:39,296 | server.py:113 | [ROUND 2]
dv - | DEBUG flwr 2024-11-12 16:03:39,297 | fed_custom.py:174 | SMART sample
