dv - | INFO flwr 2024-11-06 19:28:45,185 | server_app.py:101 | file writing: True
dv - | INFO flwr 2024-11-06 19:28:45,185 | server_app.py:102 | running in fed_cad
dv - | INFO flwr 2024-11-06 19:28:45,185 | server_app.py:103 | min num clients 2
dv - | INFO flwr 2024-11-06 19:28:45,185 | server_app.py:104 | num server rounds 200
dv - | INFO flwr 2024-11-06 19:28:45,185 | server_app.py:105 | config num local epochs 10
dv - | INFO flwr 2024-11-06 19:28:45,185 | server_app.py:106 | advanced logging False
dv - | INFO flwr 2024-11-06 19:28:45,185 | server_app.py:107 | partition: dirichlet
dv - | INFO flwr 2024-11-06 19:28:45,185 | server_app.py:108 | fraction: 2
dv - | INFO flwr 2024-11-06 19:28:45,185 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-11-06 19:28:45,185 | app.py:79 | 
dv - | INFO flwr 2024-11-06 19:28:45,185 | server.py:92 | [INIT]
dv - | INFO flwr 2024-11-06 19:28:45,185 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-11-06 19:28:45,185 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-11-06 19:28:45,185 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-11-06 19:28:45,185 | server.py:112 | 
dv - | INFO flwr 2024-11-06 19:28:45,185 | server.py:113 | [ROUND 1]
dv - | DEBUG flwr 2024-11-06 19:28:45,186 | fed_custom.py:159 | SMART sample
dv - | INFO flwr 2024-11-06 19:28:45,186 | fed_custom.py:185 | configure_fit: strategy returns 11 out of range 51 and round 25
dv - | INFO flwr 2024-11-06 19:28:45,186 | server.py:226 | configure_fit: strategy sampled 11 clients (out of 100)
dv - | DEBUG flwr 2024-11-06 19:28:48,414 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-11-06 19:28:48,415 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-11-06 19:28:54,317 | server.py:240 | aggregate_fit: received 11 results and 0 failures
dv - | INFO flwr 2024-11-06 19:28:54,321 | server.py:178 | configure_evaluate: strategy sampled 11 clients (out of 100)
dv - | INFO flwr 2024-11-06 19:28:54,528 | server.py:192 | aggregate_evaluate: received 11 results and 0 failures
dv - | INFO flwr 2024-11-06 19:28:54,528 | fed_custom.py:273 | aggregated accuracy: 0.16909871244635194
dv - | INFO flwr 2024-11-06 19:28:54,528 | server.py:112 | 
